pumpModel,pumpWeight,pumpLength_mm
ЭЦН6-1000-1150,1155,17207
ЭЦН6-1000-1750,1699,25207
ЭЦН6-1250-750,869,17237
ЭЦН6-1250-800,919,18237
ЭЦН6-1250-850,969,19237
ЭЦН6-1250-900,1019,20237
ЭЦН6-1250-950,1069,21237
ЭЦН6-1250-1000,1118,22237
ЭЦН6-1250-1050,1167,23237
ЭЦН6-1250-1100,1216,24237
ЭЦН6-1250-1150,1265,25237
ЭЦН6-1250-1200,1332,26450
ЭЦН6-1250-1250,1381,27450
ЭЦН6-1250-1300,1430,28450
ЭЦН6-1250-1350,1479,29450
ЭЦН6-1250-1400,1528,30450
ЭЦН6-1250-1500,1577,31450
ЭЦН6-1250-1550,1693,32663
ЭЦН6-1250-1600,1742,33663
ЭЦН6-1250-1650,1791,34663
ЭЦН6-1250-1750,1840,35663
ЭЦН6-1250-1800,1889,36663
ЭЦН6-1500-450,500,7510
ЭЦН6-1500-550,625,9390
ЭЦН6-1500-650,710,10680
ЭЦН6-1500-750,825,12430
ЭЦН6-1500-850,953,14310
ЭЦН6-1500-1000,1092,16430
ЭЦН6-1500-1100,1207,18180
ЭЦН6-1500-1200,1298,19560
ЭЦН6-1500-1300,1404,21170
ЭЦН6-1500-1400,1528,23000
ЭЦН6-1500-1500,1618,24400
